0.21,21,35,10,3,3,11
0.2,20,33,9,3,3,10
0.18,22,29,9,3,3,11
0.15,21,28,10,3,3,11
0.15,23,27,10,3,3,12
0.16,22,23,10,4,3,11
0.18,24,20,11,4,3,12
0.22,27,17,15,4,3,15
0.3,28,16,21,6,3,21
0.31,26,22,24,7,3,24
0.22,20,34,19,6,3,19
0.22,18,41,18,6,2,18
0.2,16,47,18,5,2,18
0.2,14,52,18,6,2,18
0.22,15,54,21,7,2,21
0.25,18,53,25,8,2,25
0.25,18,55,28,9,2,28
0.27,23,50,34,11,2,34
0.34,34,37,44,15,2,44
0.39,42,27,51,19,2,51
0.43,45,21,54,21,2,52
0.45,47,17,56,22,2,53
0.44,45,18,55,21,2,53
0.43,42,20,52,20,2,51
0.42,43,17,53,21,2,52
0.43,43,13,56,22,2,53
0.43,41,17,55,23,2,53
0.41,40,14,56,23,2,53
0.43,41,12,56,24,2,53
0.43,39,13,56,24,2,53
0.43,38,11,55,25,2,53
0.47,38,7,57,25,2,54
0.53,38,7,62,27,2,56
0.53,36,13,65,28,2,58
0.47,31,23,66,31,3,58
0.43,26,34,68,33,4,59
0.41,24,44,72,35,4,61
0.39,22,54,76,38,4,63
0.39,21,61,79,42,4,65
0.37,22,62,76,42,3,63
0.36,21,63,74,39,3,62
0.4,27,56,73,38,3,62
0.47,39,40,78,39,2,64
0.53,44,30,77,40,2,64
0.54,43,27,80,40,2,65
0.56,46,22,80,40,2,65
0.54,44,22,76,37,2,63
0.52,41,27,75,36,2,63
0.55,40,30,71,33,3,61
0.61,38,29,71,34,3,61
0.65,32,30,73,37,3,62
0.55,24,29,68,35,2,59
0.62,23,20,69,37,2,60
0.64,26,15,64,35,2,57
0.64,25,13,59,31,2,55
0.66,26,11,53,30,2,52
0.64,26,13,50,29,2,50
0.6,21,22,45,26,3,45
0.57,18,29,45,26,4,45
0.53,17,35,44,25,4,44
0.49,17,42,42,22,4,42
0.45,16,46,43,22,4,43
0.43,17,49,44,22,4,44
0.42,18,50,42,22,4,42
0.4,19,49,43,21,3,43
0.4,23,45,46,23,3,46
0.42,25,42,51,26,2,51
0.4,23,41,48,26,2,48
0.33,20,42,34,18,2,34
0.2,13,49,17,8,3,17
0.17,10,51,10,4,3,16
0.17,10,51,7,2,3,16
0.15,11,49,7,2,3,15
0.15,12,45,7,2,3,14
0.15,14,41,8,3,3,13
0.16,15,38,8,3,3,12
0.16,16,35,8,3,3,11
0.16,17,33,9,3,3,10
0.19,19,30,11,4,3,11
0.24,22,26,15,5,3,15
0.3,26,23,21,7,3,21
0.27,22,33,20,7,2,20
0.25,16,44,19,7,3,19
0.21,11,54,14,5,3,17
0.18,8,60,11,4,3,19
0.15,7,65,10,4,2,20
0.16,7,67,13,5,2,21
0.18,8,67,20,9,2,21
0.19,10,67,32,14,2,32
0.24,15,60,44,20,2,44
0.3,25,47,47,22,3,47
0.35,34,37,56,27,2,53
0.41,37,28,64,30,2,57
0.44,36,25,70,35,3,60
0.45,36,19,75,37,3,63
0.46,36,18,71,37,2,61
0.44,38,13,69,37,3,60
0.43,38,13,66,36,3,58
0.42,37,12,62,35,3,56
0.4,34,16,57,33,2,54
0.4,34,16,50,28,2,50
0.34,34,16,44,23,2,44
0.34,33,18,38,18,3,38
0.33,32,16,34,16,3,34
0.34,32,13,35,16,3,35
0.34,31,21,35,17,2,35
0.3,28,32,35,16,2,35
0.28,26,41,33,15,2,33
0.27,25,47,33,15,3,33
0.27,26,51,37,17,3,37
0.25,24,57,38,18,2,38
0.25,23,61,42,20,2,42
0.24,23,62,45,20,2,45
0.28,30,53,51,23,2,51
0.37,46,32,66,30,2,58
0.49,52,25,88,44,2,69
0.54,55,24,96,49,2,73
0.56,50,20,99,52,2,75
0.58,50,19,99,55,2,75
0.59,48,17,101,57,2,78
0.58,47,14,101,57,2,78
0.56,45,16,95,55,2,75
0.56,44,14,90,52,2,71
0.57,45,15,91,52,3,71
0.57,45,14,88,50,2,69
0.57,45,11,86,50,2,69
0.56,45,12,85,50,2,69
0.58,47,9,89,53,2,73
0.6,45,8,91,55,2,75
0.58,43,12,100,61,2,83
0.62,44,19,118,72,2,96
0.63,44,27,130,82,3,109
0.65,44,36,143,93,4,123
0.67,44,42,142,96,5,126
0.65,43,49,139,95,5,125
0.62,42,55,136,93,5,123
0.66,51,45,137,93,4,123
0.7,63,28,143,97,3,128
0.78,71,21,148,101,3,133
0.88,75,9,159,108,2,141
0.91,74,8,165,111,2,145
0.96,72,6,168,113,2,148
1,68,7,167,113,2,148
0.97,63,8,166,113,2,148
0.97,58,9,164,111,2,145
0.93,55,10,158,109,2,143
0.87,54,11,153,104,2,136
0.77,51,10,143,97,2,128
0.64,49,13,120,83,2,110
0.48,36,20,83,57,2,78
0.38,28,29,57,39,2,55
0.36,24,32,42,28,2,42
0.4,27,31,34,21,2,34
0.28,20,41,23,13,2,23
0.2,13,51,16,8,2,16
0.15,10,59,9,3,2,18
0.15,8,63,8,3,2,20
0.14,8,66,7,2,2,21
0.13,9,68,7,3,2,21
0.13,10,69,9,3,2,22
0.14,11,68,9,3,2,21
0.17,16,60,10,3,2,19
0.3,33,37,17,6,2,17
0.44,46,24,24,10,2,24
0.63,49,18,33,13,2,33
0.59,50,16,36,14,2,36
0.53,47,18,35,14,2,35
0.52,48,14,37,15,2,37
0.49,44,15,38,15,2,38
0.47,43,15,38,14,2,38
0.45,41,15,39,14,2,39
0.46,39,16,39,14,2,39
0.42,39,17,38,14,2,38
0.38,38,14,38,14,2,38
0.37,38,12,38,15,2,38
0.43,38,11,43,17,2,43
0.51,40,8,50,20,2,50
0.5,39,12,58,24,2,54
0.5,38,20,65,28,2,58
0.46,35,31,70,32,3,60
0.46,37,38,86,42,3,68
0.46,38,47,98,52,3,74
0.42,34,61,98,56,3,76
0.4,33,64,87,52,3,71
0.4,38,58,84,51,3,70
0.41,41,53,81,49,2,68
0.48,51,38,82,50,2,69
0.57,58,28,87,53,2,73
0.6,59,22,90,54,2,74
0.64,59,18,94,55,2,75
0.67,58,16,98,57,2,78
0.73,57,14,102,60,2,81
0.75,57,13,102,61,2,83
0.73,57,12,102,62,2,84
0.69,54,12,103,63,2,85
0.63,51,13,101,63,2,85
0.62,50,12,99,62,2,84
0.61,49,11,99,63,2,85
0.61,50,9,100,65,2,88
0.61,49,9,100,65,2,88
0.7,46,9,100,65,2,88
0.65,45,14,102,66,2,89
0.65,44,21,106,69,2,93
0.62,43,30,111,72,2,96
0.59,40,41,113,74,3,99
0.58,42,48,114,76,3,101
0.59,42,52,115,77,4,103
0.62,45,52,118,79,4,105
0.65,49,47,123,83,3,110
0.72,55,40,130,88,3,116
0.81,64,27,138,93,3,123
0.84,66,20,146,98,3,129
0.87,70,14,148,100,3,131
0.86,70,12,141,94,2,124
0.8,64,14,134,90,2,119
0.74,60,20,130,88,2,116
0.68,52,22,126,85,2,113
0.65,44,25,120,83,2,110
0.64,40,24,118,84,2,111
0.62,37,23,115,85,2,113
0.62,34,22,111,83,2,110
0.63,32,22,107,82,2,109
0.65,33,19,104,80,2,106
0.7,34,16,100,78,2,104
0.79,34,14,97,76,2,101
0.77,34,18,98,78,2,104
0.7,31,32,99,79,2,105
0.63,27,47,95,77,2,103
0.6,23,60,91,73,2,98
0.57,19,77,85,69,2,93
0.59,16,92,79,65,3,88
0.61,17,98,79,66,2,89
0.67,20,98,83,69,2,93
0.76,26,91,91,76,2,101
0.94,35,78,108,88,2,116
1.1,42,63,127,102,2,134
1.19,41,56,144,116,2,151
1.21,41,49,152,122,2,160
1.25,39,48,163,133,2,176
1.31,38,42,169,140,2,186
1.34,37,38,172,144,2,191
1.42,36,33,174,145,2,193
1.49,41,22,181,149,2,199
1.47,43,18,185,150,2,200
1.45,44,14,184,147,2,196
1.39,39,18,179,142,2,189
1.39,37,17,175,138,2,183
1.39,35,16,172,136,2,180
1.44,37,12,168,131,2,173
1.49,39,10,160,124,2,163
1.51,40,11,153,118,2,154
1.53,39,12,145,112,2,146
1.56,39,11,133,104,2,136
1.56,40,11,124,99,2,130
1.59,40,11,123,98,2,129
1.57,39,11,111,89,2,118
1.57,38,10,100,79,2,105
1.57,38,10,86,68,3,91
1.59,38,14,77,62,3,84
1.59,37,12,68,56,3,76
1.56,37,11,61,51,3,70
1.55,37,7,52,43,3,60
1.59,37,6,37,31,2,44
1.63,38,6,30,25,2,36
1.55,36,12,22,19,2,27
1.55,34,10,23,11,3,23
1.43,30,13,9,8,3,15
0.87,20,21,5,4,3,10
0.58,11,29,3,2,3,9
0.41,8,30,2,2,3,9
0.32,7,35,2,1,3,11
0.23,6,40,3,2,3,13
0.2,7,42,4,3,3,13
0.17,7,44,4,2,3,14
0.17,7,47,3,2,3,15
0.16,7,50,3,2,3,16
0.15,7,54,3,2,3,17
0.17,6,55,4,2,3,17
0.17,7,56,3,2,3,18
0.16,7,56,3,2,3,18
0.16,7,56,3,2,3,18
0.16,8,56,3,2,3,18
0.15,9,57,3,2,3,18
0.16,9,57,4,2,3,18
0.16,9,57,3,2,3,18
0.16,9,56,3,2,3,18
0.15,9,56,3,2,3,18
0.16,9,53,3,2,3,17
0.16,10,50,4,2,3,16
0.16,10,48,4,2,3,15
0.15,10,48,4,3,3,15
0.13,10,47,4,3,3,15
0.15,11,42,4,3,3,13
0.14,10,42,4,3,3,13
